Reporting period ending date,Number of requests (range MIN),Number of requests (range MAX),Number of accounts (range MIN),Number of accounts (range MAX)
2021-12-31,0,499,95500,95999
2021-06-30,0,499,89000,89499
2020-12-31,0,499,80000,80499
2020-06-30,0,499,73500,73999
2019-12-31,0,499,74500,74999
2019-06-30,0,499,69500,69999
2018-12-31,500,999,63000,63499
2018-06-30,500,999,54500,54999
2017-12-31,500,999,44000,44499
2017-06-30,500,999,35000,35499
2016-12-31,500,999,27500,27999
2016-06-30,500,999,22500,22999
2015-12-31,500,999,22500,22999
2015-06-30,500,999,19000,19499
2014-12-31,500,999,18500,18999
2014-06-30,500,999,17000,17499
2013-12-31,500,999,15500,15999
2013-06-30,500,999,14000,14499
2012-12-31,500,999,12500,12999
2012-06-30,500,999,10500,10999
2011-12-31,500,999,10000,10499
2011-06-30,500,999,7000,7499
2010-12-31,0,499,4000,4499
2010-06-30,0,499,3500,3999
2009-12-31,0,499,3500,3999
2009-06-30,0,499,2000,2499
